ticker,price,pct_above_50dma
HESM,38.94,0.63
WBS,72.35,0.71
FCX,63.91,0.80
SAN,12.16,0.81
SEM,16.57,0.81
MASI,179.94,0.81
PCAR,118.44,0.82
ASB,27.78,0.84
FANG,198.20,0.85
CWAN,24.39,0.89
TXT,91.43,0.89
USB,55.35,0.89
FHN,24.27,0.90
AMPX,18.83,0.96
BKR,64.84,1.01
ONB,23.79,1.01
AFL,115.24,1.09
NXT,125.65,1.10
VSAT,65.48,1.13
MPLX,56.41,1.27
CCEP,95.25,1.27
CVI,33.32,1.31
FNB,17.71,1.32
ENB,55.33,1.34
FLG,14.09,1.35
KGS,67.63,1.42
HXL,89.19,1.44
PB,69.58,1.44
AUB,37.92,1.48
HAL,40.50,1.51
HUN,14.23,1.52
PLD,142.78,1.54
CVBF,20.50,1.56
WPC,73.95,1.59
PNFP,96.49,1.62
AES,14.71,1.71
Q,144.45,1.72
CM,109.52,1.75
HSBC,91.53,1.76
XYZ,69.92,1.79
CENX,63.30,1.80
KO,79.54,1.80
EOG,140.15,1.83
ONDS,10.30,1.86
TJX,159.75,1.94
TIGO,83.67,1.95
COLB,29.68,1.98
KEY,21.79,1.98
FAST,46.00,2.02
CFG,64.35,2.06
MUR,40.01,2.14
EAT,146.14,2.14
GSAT,81.19,2.15
PAA,22.80,2.18
NNN,45.01,2.21
EBC,20.46,2.25
ANET,156.40,2.25
BUD,78.66,2.30
VSNT,41.46,2.37
CUBE,40.17,2.37
FIBK,35.57,2.40
MFC,38.89,2.46
D,65.52,2.60
CVE,28.72,2.63
LUV,41.02,2.73
BHP,83.70,2.78
TS,62.81,2.81
HR,19.55,2.93
LUNR,29.74,2.93
FTV,61.16,2.95
EXR,145.00,2.99
ERIC,12.52,3.01
MDLZ,61.60,3.03
BRX,30.93,3.04
PM,176.06,3.05
SSL,13.45,3.10
JCI,144.05,3.10
ZION,63.25,3.12
KIM,24.24,3.14
MO,71.29,3.17
PAGP,24.63,3.21
TEX,62.70,3.21
EBAY,108.44,3.22
FULT,22.05,3.22
AMKR,68.29,3.30
SFNC,21.60,3.36
IRM,123.50,3.36
FHB,27.54,3.41
BANC,19.24,3.43
FLR,49.52,3.44
WES,44.36,3.51
HP,39.14,3.52
TECK,62.09,3.54
LAUR,34.16,3.55
RF,28.56,3.59
ELAN,23.68,3.59
VIST,73.96,3.60
DAN,36.67,3.76
NESR,25.13,3.79
BCS,24.23,3.92
SLB,56.55,3.92
VLY,13.77,3.92
UNIT,11.49,3.93
BNL,20.63,3.94
PPG,112.88,3.95
ASTS,92.06,4.02
NSA,43.62,4.09
APH,143.60,4.12
CART,42.43,4.15
EW,85.85,4.32
RSI,26.14,4.35
SIRI,27.44,4.39
HSIC,78.05,4.43
SN,118.28,4.47
SBLK,26.72,4.53
PTEN,11.90,4.53
FBP,24.49,4.60
VIAV,48.75,4.72
OII,39.19,4.74
TRP,68.25,4.75
AKR,22.19,4.79
GTES,26.11,4.83
SGHC,12.87,4.90
